"party_name_dari","party_eng_transliterated","party_eng_translated","registered_party_number"
"جزب حراست اسالمی افغانستان","Hezb-e Herasat e Islami Afghanistan","Islamic Protective Party of Afghanistan","52"
"حرکت اسالمی آزاد افغانستان","Harakat-e Islami Azad-e Afghanistan","Afghanistan Free Islamic Movement Party	","English (66), Dari (65)"
"حرکت انقالب اسالمی مردوم افغانستان","Harakat-e Inqelab-e Islami Mardum-e Afghanistan","Party of Islamic Revolutionary Movement of Afghanistan","27"
"حزب اسالمی افغانستان","Hezb-e Islami Afghanistan","Islamic Party of Afghanistan","26"
"حزب اسالمی متحد افغانستان","Hezb-e Islami Motahid-e Afghanistan","Islamic Unity Party of Afghanistan","32"
"حزب اعتدال افغانستان","Hezb-e Etedal-e Afghanistan","Afghanistan Moderate Party","English (62), Dari (61)"
"حزب اعتدال ملی","Hezb-e Etedal-e Milli","Party of National Moderation","34"
"حزب اقتدار اسالمی افغانستان","Hezb-e Eqtedar-e Islami Afghanistan",NA,NA
"حزب اقتدار ملی افغانستان","Hezb-e Eqtedar-e Milli Afghanistan","National Sovereignty Party of Afghanistan","39"
"حزب انسجام ملی افغانستان","Hezb-e Ensejam-e Milli Afghanistan","Afghan National Solidarity Party","16"
"حزب انصاف اسلامی ملی افغانستان","Hezb-e Insaf-e Islami Milli Afghanistan","National Fairness Islamic Party of Afghanistan","8"
"حزب بیداری ملت افغانستان","Hezb-e Bedari Millat-e Afghanistan","The Awakening Movement of the Afghan Nation","60"
"حزب پیوند ملی","Hezb-e-Paiwand Milli Afghanistan","National Solidarity Party of Afghanistan","4"
"حزب جمعیت اسالمی افغانستان","Hezb-e Jamiat-e Islami Afghanistan","Jamiat-e Islami Party of Afghanistan","38"
"حزب جنبش ملی اسلامی افغانستان","Hezb-e Junbish-e Milli Islami Afghanistan","Nationalist Movement Party of Afghanistan","24"
"حزب دعوت اسالمی افغانستان","Hezb-e Dawat-e Islami Afghanistan","Afghanistan's Islamic Da’wa Party","9"
"حزب رفاه ملی افغانستان","Hezb-e Refah-e Milli Afghanistan","National Welfare Party of Afghanistan","51"
"حزب متحد ملی افغانستان","Hezb-e Motahid-e Milli Afghanistan","National United Party of Afghanistan","2"
"حزب محاذ ملی اسالمی افغانستان","Hezb-e Mahaz-e Milli Islami Afghanistan","National Islamic Front Party of Afghanistan","10"
"حزب مشارکت ملی افغانستان","Hezb-e Mosharekat-e Milli Afghanistan","Afghan National Participation Party","1"
"حزب ملت افغانستان","Hezb-e Millat Afghanistan","The Afghan Nation Party","42"
"حزب ملی ترقی مردم افغانستان","Hezb-e Milli Taraqi Mardum-e Afghanistan","National Party of Afghan's Development","57"
"حزب وحدت اسالمی افغانستان","Hezb-e Wahdat Islami Afghanistan","Islamic Unity Party of Afghanistan","5"
"حزب وحدت اسالمی مردم افغانستان","Hezb-e Wahdat Islami Mardum-e Afghanistan","Islamic Unity Party of Afghanistan","22"
"د افغانستان د ملی وحدت ولسی تحریک","De Afghanistan de Milli Wahdat Wolesi Tahrik","National Unity and Public Movement Party of Afghanistan","12"
"د افغانستان ولسی حرکت ګوند","De Afghanistan Wolesi Harakat Gond","The People Movement Party of Afghanistan","58"
"دافغانستان دسلوی ملی اسالمی گوند","De Afghanistan de Solay Milli Islami Gond",NA,NA
"روند حفاظت از ارزشهای جهاد مقاومت","Rawand-e Hefazat az Arzeshhaye Jahad Moqawomat",NA,NA
"مستقل / خپلواک","Mustaqil","Independent",NA
"ملی باور","Milli Bawar",NA,NA
"نهضت ملی گرایی افغانستان","Nahzat-e Milli Garayee Afghanistan","The Afghanistan National Movement Party","72"
