province_code,constituency_code,province_name_eng,constituency_name_eng,province_name_dari,constituency_name_dari,province_name_pashto,constituency_name_pashto,general_seats,female_seats
1,G-01,Kabul,Kabul,کابل,کابل,کابل,کابل,24,9
2,G-02,Kapisa,Kapisa,کاپيسا,کاپيسا,کاپيسا,کاپيسا,3,1
3,G-03,Parwan,Parwan,پروان,پروان,پروان,پروان,4,2
4,G-04,Wardak,Wardak,وردک,وردک,وردک,وردک,3,2
5,G-05,Logar,Logar,لوگر,لوگر,لوگر,لوگر,3,1
6,G-06,Nangarhar,Nangarhar,ننگرهار,ننگرهار,ننگرهار,ننگرهار,10,4
7,G-07,Laghman,Laghman,لغمان,لغمان,لغمان,لغمان,3,1
8,G-08,Panjsher,Panjsher,پنجشیر,پنجشیر,پنجشیر,پنجشیر,1,1
9,G-09,Baghlan,Baghlan,بغلان,بغلان,بغلان,بغلان,6,2
10,G-10,Bamyan,Bamyan,باميان,باميان,باميان,باميان,3,1
11,G-11,Ghazni,Ghazni,غزنی,غزنی,غزنی,غزنی,8,3
12,G-12,Paktika,Paktika,پکتيکا,پکتيکا,پکتيکا,پکتيکا,3,1
13,G-13,Paktya,Paktya,پکتيا,پکتيا,پکتيا,پکتيا,4,1
14,G-14,Khost,Khost,خوست,خوست,خوست,خوست,4,1
15,G-15,Kunar,Kunar,کنرها,کنرها,کنرها,کنرها,3,1
16,G-16,Nuristan,Nuristan,نورستان,نورستان,نورستان,نورستان,1,1
17,G-17,Badakhshan,Badakhshan,بدخشان,بدخشان,بدخشان,بدخشان,7,2
18,G-18,Takhar,Takhar,تخار,تخار,تخار,تخار,7,2
19,G-19,Kunduz,Kunduz,کندز,کندز,کندز,کندز,7,2
20,G-20,Samangan,Samangan,سمنگان,سمنگان,سمنگان,سمنگان,3,1
21,G-21,Balkh,Balkh,بلخ,بلخ,بلخ,بلخ,8,3
22,G-22,Sar-e-Pul,Sar-e-Pul,سرپل,سرپل,سرپل,سرپل,4,1
23,G-23,Ghor,Ghor,غور,غور,غور,غور,4,2
24,G-24,Daykundi,Daykundi,دایکندی,دایکندی,دایکندی,دایکندی,3,1
25,G-25,Uruzgan,Uruzgan,ارزگان,ارزگان,ارزگان,ارزگان,2,1
26,G-26,Zabul,Zabul,زابل,زابل,زابل,زابل,2,1
27,G-27,Kandahar,Kandahar,کندهار,کندهار,کندهار,کندهار,8,3
28,G-28,Jawzjan,Jawzjan,جوزجان,جوزجان,جوزجان,جوزجان,4,1
29,G-29,Faryab,Faryab,فارياب,فارياب,فارياب,فارياب,6,3
30,G-30,Hilmand,Hilmand,هلمند,هلمند,هلمند,هلمند,6,2
31,G-31,Badghis,Badghis,بادغيس,بادغيس,بادغيس,بادغيس,3,1
32,G-32,Hirat,Hirat,هرات,هرات,هرات,هرات,12,5
33,G-33,Farah,Farah,فراه,فراه,فراه,فراه,4,1
34,G-34,Nimroz,Nimroz,نيمروز,نيمروز,نيمروز,نيمروز,1,1
NA,K-01,NA,Kuchi,NA,کوچی,NA,کوچی,7,3
NA,S-01,NA,Sikh,NA,هندو,NA,هندو,1,0
