"electorate","constituency_code","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","candidate_gender","party_name_dari","party_eng_transliterated","party_eng_translated","registered_party_number","preliminary_winner","final_winner","past_winners","prelim_winner_2010","final_winner_2010","past_winners_matched_to_2010_codes","final_winner_2005","past_winners_matched_to_2005_codes"
"General","G-01","1-1152-35",1,"Habibullah Zazai","حبیب الله ځاځی","حبیب الله ځاځی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1479-47",2,"Ghullam Hussain Naseri","غلام حسین ناصری","غلام حسین ناصری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES","Yes","Yes","Yes",1515002,NA,NA
"General","G-01","1-1352-1058",3,"Farzana Rezaye","فرزانه رضایی","فرزانه رضایی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1741-1070",4,"sayed Shah Mahmood Malekzadah","سید شاه محمود ملک زاده ","سید شاه محمود ملک زاده ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1652-63",5,"Alhaj Khan Lala Shirzai","الحاج خان لالا شیرزی ","الحاج خان لالا شیرزی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1806-1167",6,"Shokria Jalalzai","شکریه جلالزی ","شکریه جلالزی ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1061-18",7,"Eng. Najibullah Salamzai","انجنیر نجیب الله سلام زی","انجنیر نجیب الله سلام زی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1221-11",8,"Mohammad Yousuf Rezaye","محمد  یوسف رضایی","محمد  یوسف رضایی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1663-170",9,"Shabir Ahmad Ibrahimi","شبیر احمد ابراهیمی","شبیر احمد ابراهیمی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1405-112",10,"Abdul Ghafar Faizi Zadran","عبدالغفار فیضی  ځدران ","عبدالغفار فیضی  ځدران ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1562-13",11,"Khalida Adib","خالده ادیب ","خالده ادیب ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1655-1052",12,"Sharifa Shirzad Allah Daad"," شریفه شیرزاد الله داد"," شریفه شیرزاد الله داد","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-2005-1176",13,"Ustad Jafari","استاد جعفری ","استاد جعفری ","M","حزب رفاه ملی افغانستان","Hezb-e Refah-e Milli Afghanistan","National Welfare Party of Afghanistan","51","NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1422-3066",14,"Jumma Khan Mohammadi","جمعه  خان محمدی","جمعه  خان محمدی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1210-102",15,"Alhaj Ghullam Sakhi Parsaaye","الحاج غلام سخی پارسائی","الحاج غلام سخی پارسائی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1477-12",16,"Haji Ghullam Maroof Sediqi","حاجی غلام معروف صدیقی","حاجی غلام معروف صدیقی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1315-24",17,"Sayed Saifullah Sadat","سید سیف الله سادات","سید سیف الله سادات","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1402-42",18,"Mohammad Edris Sediq","محمد ادریس صدیق","محمد ادریس صدیق","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1330-1",19,"Royena Jalali","روبینا جلالی","روبینا جلالی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
