"electorate","province_code","pc_count","ps_count","candidate_count","vote_count"
"General","01",526,2613,803,666478
"General","02",77,334,35,39820
"General","03",154,506,27,86252
"General","04",81,217,39,58784
"General","05",31,169,35,22256
"General","06",368,1618,136,260314
"General","07",68,325,33,44538
"General","08",96,216,12,32847
"General","09",175,657,88,122117
"General","10",219,518,38,125564
"General","12",158,487,33,36890
"General","13",132,482,78,76372
"General","14",176,535,55,77845
"General","15",108,397,31,83467
"General","16",32,114,18,20655
"General","17",267,763,76,158976
"General","18",214,683,73,175065
"General","19",78,313,89,52251
"General","20",92,303,31,76919
"General","21",250,938,82,207768
"General","22",73,285,33,80129
"General","23",142,434,29,108633
"General","24",252,551,41,134695
"General","25",28,119,25,12692
"General","26",42,143,24,13495
"General","27",169,1010,111,167486
"General","28",53,209,30,55234
"General","29",78,287,61,70419
"General","30",95,619,89,83156
"General","31",65,198,31,44485
"General","32",282,1150,159,338661
"General","33",42,154,41,25921
"General","34",50,200,12,32513
"Kuchi","01",103,672,44,34251
"Kuchi","02",23,128,44,4765
"Kuchi","03",23,109,44,562
"Kuchi","04",5,25,44,318
"Kuchi","05",17,118,44,2381
"Kuchi","06",115,737,44,4806
"Kuchi","07",17,133,44,1598
"Kuchi","09",11,62,44,2492
"Kuchi","12",52,207,44,766
"Kuchi","13",16,92,44,875
"Kuchi","14",24,118,44,1203
"Kuchi","15",2,14,44,19
"Kuchi","18",1,3,44,34
"Kuchi","20",1,6,44,8
"Kuchi","21",23,141,44,1241
"Kuchi","22",1,5,44,239
"Kuchi","23",5,26,44,79
"Kuchi","25",2,4,44,178
"Kuchi","26",16,92,44,308
"Kuchi","27",86,676,44,8458
"Kuchi","28",3,12,44,137
"Kuchi","30",22,206,44,249
"Kuchi","31",7,30,44,404
"Kuchi","32",15,98,44,984
"Kuchi","33",10,66,44,45
"Kuchi","34",4,37,44,70
"Sikh / Hindu","01",2,10,1,216
"Sikh / Hindu","06",2,16,1,87
