2018_IEC_province_code,2012_AGCHO_province_code,2010_IEC_province_code,2010_IEC_district_name_eng,2010_IEC_district_code,2012_AGCHO_district_name_eng,2012_AGCHO_district_code,2018_IEC_district_name_eng,2018_IEC_district_code,matched_to_2012_AGCHO_district_code,matched_to_2010_IEC_district_code,district_name_dari,district_name_pashto,alternate_dari_pashto,district_description_via_Map_Sync_Project
17,15,14,FAIZ ABAD,1401,Fayzabad,1501,Fayzabad,1701,1501,1401,فیض آباد,فیض آباد,,"Faiz Abad, Fayzabad.  (There is also a Faizabad district in Jowzjan.)"
17,15,14,YAFTAL PAYAN,1402,Yaftal-e-Sufla,1502,Yaftal-e-Sufla,1704,1502,1402,یفتل سفلی,يفتل سفلی,,"Yaftal-e-Sufla, Yaftal Payin, Yaftal-i-Paen, Lower Yaftal."
17,15,14,URGO,1403,Argo,1503,Argo,1702,1503,1403,ارگو,ارگو,,"Argo, Orgu."
17,15,14,DARAYEM,1404,Darayem,1510,Darayem,1707,1510,1404,درایم,درايم,,"Darayim, Darayem, Darah Aim."
17,15,14,KHASH,1405,Khash,1511,Khash,1705,1511,1405,خاش,خاش,,Khash.
17,15,14,JURM,1406,Jorm,1521,Jorm,1710,1521,1406,جرم,جرم,,"Jurm, Jorm, Juram."
17,15,14,WARDOUJ,1407,Warduj,1522,Warduj,1716,1522,1407,وردوج,وردوج,,"Wardooj, Warduj."
17,15,14,BAHARAK (BADAKHSHAN),1408,Baharak,1512,Baharak,1706,1512,1408,بهارک,بهارک,,"Baharak, Bahorak.  (There is also a Baharak district in Takhar.)"
17,15,14,SHUHADA,1409,Shuhada,1513,Shuhada,1712,1513,1409,شهدا,شهدا,,"Shuhada, Shohada."
17,15,14,KOHISTAN (BADAKHSHAN),1410,Kohestan,1505,Kohestan,1708,1505,1410,کوهستان,کوهستان,,"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)"
17,15,14,YAWAN,1411,Yawan,1507,Yawan,1709,1507,1411,یاوان,ياوان,,Yawan.
17,15,14,SHAHR-E-BUZURG,1412,Shahr-e-Buzorg,1508,Shahr-e-Buzorg,1713,1508,1412,شهربزرگ,شهربزرگ,,"Shahri Buzurg, Shahr-e-Buzorg, Shahr-e Buzurg, Shar-e-Buzurg."
17,15,14,KISHM,1413,Keshem,1518,Keshem,1715,1518,1413,کشم,کشم,,"Kishim, Keshem, Keshm."
17,15,14,TAGAB (KESHM BALA),1414,Tagab,1519,Tagab,1717,1519,1414,تگاب,تگاب,,"Tagab, Tagau."
17,15,14,TASHKAN,1415,Teshkan,1509,Teshkan,1711,1509,1415,تشکان,تشکان,,"Tashkan, Teshkan."
17,15,14,KARAN-O-MENJAN,1416,Koran wa Monjan,1526,Koran wa Monjan,1726,1526,1416,کرا ن ومنجان,کرا ن و منجان,,"Kiran Wa Menjan, Kirn wa Manjan, Koran o Monjan."
17,15,14,ZEBAK,1417,Zebak,1527,Zebak,1725,1527,1417,زیباک,زيباک,,"Zebak, Zibak."
17,15,14,ESHKASHAM,1418,Eshkshim,1523,Eshkashem,1723,1523,1418,اشکاشم,اشکاشم,,"Eshkashim, Ishkashem.  (Eshkashim is sometimes confused with Eshkamish district of Takhar.)"
17,15,14,WAKHAN,1419,Wakhan,1528,Wakhan,1728,1528,1419,واخان,واخان,,Wakhan.
17,15,14,SHEGHNAN,1420,Shighnan,1514,Shighnan,1719,1514,1420,شیغنان,شيغنان,,Shighnan.
17,15,14,ARGHANJ KHAWA,1421,Arghanjkhwa,1504,Arghanj Khwa,1703,1504,1421,ارغنجخواه,ارغنجخو,,"Arghanj Khwah, Arghanjkhwa."
