"province_code","candidate_name_eng","candidate_gender","incumbent","final_votes","prelim_votes","prelim_winner","final_winner"
"01","Hajji Muhammad Mohaqiq","Male","No",16233,16166,"Yes","Yes"
"01","Muhammad Younus Qanooni","Male","Yes",9548,9381,"Yes","Yes"
"01","Dr. Ramzan Bashar Dost","Male","Yes",7935,7856,"Yes","Yes"
"01","Ustad Abdul Rab Rasool Sayyaf","Male","Yes",7158,7120,"Yes","Yes"
"01","Wakeel Fatima Nazari","Female","No",6834,6814,"Yes","Yes"
"01","Mir Amanullah Guzar","Male","No",6686,6645,"Yes","Yes"
"01","Farkhunda Zahra Naderi","Female","No",6612,6600,"Yes","Yes"
"01","Hajji Muhammad Farhad Seddiqi","Male","No",5128,4878,"Yes","Yes"
"01","Muhammad Ibrahim Qasemi","Male","Yes",5014,5000,"Yes","Yes"
"01"," Dr. Jafar Mahdawi","Male","No",5013,5004,"Yes","Yes"
"01","Sayed Hussain Anwari","Male","No",4715,4670,"Yes","Yes"
"01"," Baktash Siawash","Male","No",4557,4505,"Yes","Yes"
"01"," Alhaj Ezatullah Atif","Male","No",4429,4419,"Yes","Yes"
"01","Alhaj Allah Gul Mujahid","Male","No",4115,4097,"Yes","Yes"
"01","Hajji Muhammad Dawood Kalakani","Male","Yes",3926,3905,"Yes","Yes"
"01","Sharifullah Kamawal","Male","No",3876,4191,"Yes","Yes"
"01","Dr. Sayed Ali Kazemi","Male","No",3764,3725,"Yes","Yes"
"01"," Qais Hassan","Male","No",3608,3647,"Yes","Yes"
"01","Sayed Hussain Alimi Balkhi","Male","Yes",3423,3383,"Yes","Yes"
"01","Eng. Shir Wali Wardak","Male","No",3409,3380,"Yes","Yes"
"01"," Anwar Khan Oriakhil","Male","Yes",3200,2896,"Yes","Yes"
"01","Ramazan Juma Zada","Male","No",3148,3148,"Yes","Yes"
"01"," Shenkai Zaheen Karokhil","Female","No",2999,3231,"Yes","Yes"
"01","Arfanullah Arfan","Male","Yes",2977,2970,"Yes","Yes"
"01"," Dr. Abdullah Kalimzai Wardak","Male","No",2918,2854,"Yes","Yes"
"01","Ustad Qurban Ali Arfani","Male","No",2905,2833,"Yes","Yes"
"01"," Abdul Hafeez Mansoor","Male","No",2903,2848,"Yes","Yes"
"01","Hajji Ehsan Sahibzada","Male","No",2777,2707,"No","No"
"01"," Hajji Qudratullah Sahak","Male","No",2771,2768,"No","No"
"01"," Hajji Mahdawi","Male","No",2754,2743,"No","No"
"01","Abdul Qadir Zazai Watan Dost","Male","No",2464,2362,"No","No"
"01","Alhaj Zmarak Padkhuwani","Male","No",2441,2503,"No","No"
"01"," Eng. Zekria","Male","No",2432,2415,"No","No"
"01"," Zalmay Tofaan","Male","No",2411,2386,"No","No"
"01","Bawar Khan Hutak","Male","No",2326,2322,"No","No"
"01","Muhammad Hasan Jafari","Male","No",2279,2269,"No","No"
"01"," Eng. Abas Noyan","Male","No",2267,2263,"No","No"
"01","Torpekai Patman","Female","No",2258,2247,"Yes","Yes"
"01","Muhammad Ullah Babrak","Male","No",2208,2192,"No","No"
"01","Hajji Najeebullah Maqsoodi","Male","No",2197,2197,"No","No"
"01","Shukria Barikzai","Female","Yes",2174,2129,"Yes","Yes"
"01","Muhammad Saeed Rahimi","Male","No",2167,2160,"No","No"
"01","Eng. Muhammad Jan Eshan Rohani","Male","No",2156,2149,"No","No"
"01","Nastu Naderi","Male","No",2149,2119,"No","No"
"01"," Shefayee","Male","No",2128,2125,"No","No"
"01","Muhammad Ibrahim Zarif","Male","No",2016,2010,"No","No"
"01","Dr. Muhammad Yahya Weyar","Male","No",1998,2010,"No","No"
"01","Alhaj Baidar Zazai","Male","Yes",1988,1982,"No","No"
"01","Alhaj Abdul Qayoom Parsa","Male","No",1977,1974,"No","No"
"01","Eng. Zia Ahmad Noori","Male","No",1942,1774,"No","No"
"01","Jamil Karzai","Male","Yes",1941,1945,"No","No"
"01","Qadam Ali Khadim","Male","No",1880,1866,"No","No"
"01","Hajji Shah Agha Sakhizada","Male","No",1874,1854,"No","No"
"01"," Alhaj Muhammad Baqir Shikh Zada","Male","Yes",1857,1834,"No","No"
"01","Sardar Muhammad Ali Ahmad Zada","Male","No",1856,1841,"No","No"
"01","Sofi Abdul Razaq","Male","No",1848,1821,"No","No"
"01","Eng. Muhammad Afzal Ahmadzai","Male","No",1836,1912,"No","No"
"01","Mawin Sarmuhaqiq Abdul Wasi Ferozi","Male","No",1807,1771,"No","No"
"01","Yardil Nizami","Male","No",1752,1725,"No","No"
"01","Asmat Qani","Male","No",1748,1717,"No","No"
"01","Abdul Hadi Rashid","Male","No",1736,1717,"No","No"
