"electorate","constituency_code","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","preliminary_winner","candidate_gender","party_name_dari","party_eng_transliterated","party_eng_translated","registered_party_number","past_winners","prelim_winner_2010","final_winner_2010","past_winners_matched_to_2010_codes","final_winner_2005","past_winners_matched_to_2005_codes"
"General","G-01","1-1152-35",1,"Habibullah Zazai","حبیب الله ځاځی","حبیب الله ځاځی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1479-47",2,"Ghullam Hussain Naseri","غلام حسین ناصری","غلام حسین ناصری","YES","M","مستقل / خپلواک","Mustaqil","Independent",NA,"Yes","Yes","Yes",1515002,NA,NA
"General","G-01","1-1352-1058",3,"Farzana Rezaye","فرزانه رضایی","فرزانه رضایی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1741-1070",4,"sayed Shah Mahmood Malekzadah","سید شاه محمود ملک زاده ","سید شاه محمود ملک زاده ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1652-63",5,"Alhaj Khan Lala Shirzai","الحاج خان لالا شیرزی ","الحاج خان لالا شیرزی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1806-1167",6,"Shokria Jalalzai","شکریه جلالزی ","شکریه جلالزی ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1061-18",7,"Eng. Najibullah Salamzai","انجنیر نجیب الله سلام زی","انجنیر نجیب الله سلام زی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1221-11",8,"Mohammad Yousuf Rezaye","محمد  یوسف رضایی","محمد  یوسف رضایی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1663-170",9,"Shabir Ahmad Ibrahimi","شبیر احمد ابراهیمی","شبیر احمد ابراهیمی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1405-112",10,"Abdul Ghafar Faizi Zadran","عبدالغفار فیضی  ځدران ","عبدالغفار فیضی  ځدران ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1562-13",11,"Khalida Adib","خالده ادیب ","خالده ادیب ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1655-1052",12,"Sharifa Shirzad Allah Daad"," شریفه شیرزاد الله داد"," شریفه شیرزاد الله داد","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-2005-1176",13,"Ustad Jafari","استاد جعفری ","استاد جعفری ","NO","M","حزب رفاه ملی افغانستان","Hezb-e Refah-e Milli Afghanistan","National Welfare Party of Afghanistan","51",NA,NA,NA,NA,NA,NA
"General","G-01","1-1422-3066",14,"Jumma Khan Mohammadi","جمعه  خان محمدی","جمعه  خان محمدی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1210-102",15,"Alhaj Ghullam Sakhi Parsaaye","الحاج غلام سخی پارسائی","الحاج غلام سخی پارسائی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1477-12",16,"Haji Ghullam Maroof Sediqi","حاجی غلام معروف صدیقی","حاجی غلام معروف صدیقی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1315-24",17,"Sayed Saifullah Sadat","سید سیف الله سادات","سید سیف الله سادات","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1402-42",18,"Mohammad Edris Sediq","محمد ادریس صدیق","محمد ادریس صدیق","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1330-1",19,"Royena Jalali","روبینا جلالی","روبینا جلالی","YES","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1550-1074",20,"Sayed Mahmood Zia Dashti","سید محمود ضیا دشتی","سید محمود ضیا دشتی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1681-51",21,"Gharibullah Tabesh","غریب الله تابش","غریب الله تابش","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1752-137",22,"Alhaj Mohammad Mosadeq Muqset","الحاج محمد مصدق مقسط","الحاج محمد مصدق مقسط","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1364-1092",23,"Arian Khaibar","آرین خیبر ","آرین خیبر ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1825-107",24,"Armaghan Samkanai","ارمغان څمکنی","ارمغان څمکنی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1198-97",25,"Mawalawi Ihsanulhaq Hanafi","مولوی احسان الحق حنفی","مولوی احسان الحق حنفی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1674-1093",26,"Mohammad Shafiq Haqyar","محمد شفیق حقیار","محمد شفیق حقیار","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1415-1169",27,"Mohammad Qayoum Khostwal","محمد قیوم خوستوال ","محمد قیوم خوستوال ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1058-169",28,"Assadullah Batori","اسد الله باتوری","اسد الله باتوری","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1400-15",29,"Shayesta Saleh","شایسته صالح","شایسته صالح","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1250-67",30,"Alhaj Habibullah Ahmadzai","الحاج حبیب الله احمدزی ","الحاج حبیب الله احمدزی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1046-55",31,"Razia Arefi","راضیه عارفی ","راضیه عارفی ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1654-131",32,"Sayed Mohammad Sayeedi","سید محمد سعیدی","سید محمد سعیدی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1605-38",33,"Khan Ali Radmand","خانعلی رادمند","خانعلی رادمند","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1537-14",34,"Ahmad Jawid Jaihon","احمد جاوید جیحون","احمد جاوید جیحون","YES","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1778-156",35,"Ahmad Hamed Warasta","احمد حامد وارسته","احمد حامد وارسته","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1764-1156",36,"Karimullah Jawad","کریم الله جواد ","کریم الله جواد ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1148-170",37,"Mohammad Nayem Paiman","محمد نعیم پیمان ","محمد نعیم پیمان ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
