"electorate","province_code","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","incumbent","candidate_gender","prelim_winner","final_winner"
"General","01","5167932","13","Muhammad Ibrahim Qasemi","محمد  ابراهیم قاسمی","Yes","Male","Yes","Yes"
"General","01","7762167","24","Fawzia Nasir Yar Guldarayee","فوزیه ناصر یار گلدره ئی","Yes","Female","Yes","Yes"
"General","01","3699568","29","Hajji Muhammad Mohaqiq","حاجی محمد محقق","No","Male","Yes","Yes"
"General","01","6132861","30","Ramazan Juma Zada","رمضان جمعه زاده","No","Male","Yes","Yes"
"General","01","5486154","37","Farkhunda Zahra Naderi","فرخنده زهرا نادری","No","Female","Yes","Yes"
"General","01","2278941","52","Mir Amanullah Guzar","میر امان الله   گذر","No","Male","Yes","Yes"
"General","01","4814212","94","Arfanullah Arfan","عرفان الله عرفان","Yes","Male","Yes","Yes"
"General","01","11040318","96","Ustad Qurban Ali Arfani","استاد قربانعلی عرفانی","No","Male","Yes","Yes"
"General","01","997138","100","Dr. Ramzan Bashar Dost","داکتر رمضان بشر دوست","Yes","Male","Yes","Yes"
"General","01","3861413","103","Ustad Rababa Parwani Darwish","استاد ربابه پروانی درویش","No","Female","Yes","Yes"
"General","01","3466654","126"," Baktash Siawash","بکتاش سیاووش","No","Male","Yes","Yes"
"General","01","3612624","178","Torpekai Patman","تورپیکۍ پتمن","No","Female","Yes","Yes"
"General","01","6043787","189"," Qais Hassan","قیس حسن","No","Male","Yes","Yes"
"General","01","4754128","209"," Abdul Hafeez Mansoor","عبدالحفیظ   منصور","No","Male","Yes","Yes"
"General","01","6176526","222"," Dr. Jafar Mahdawi","داکتر جعفر مهدوی","No","Male","Yes","Yes"
"General","01","11011693","256","Hajji Muhammad Farhad Seddiqi","حاجی محمد فرهاد  صدیقی","No","Male","Yes","Yes"
"General","01","3871908","286","Alhaj Allah Gul Mujahid","الحاج الله گل مجاهد","No","Male","Yes","Yes"
"General","01","6433992","293"," Alhaj Ezatullah Atif","الحاج عزت اله عاطف","No","Male","Yes","Yes"
"General","01","5765401","308","Wakeel Fatima Nazari","وکیل فاطمه نظری","No","Female","Yes","Yes"
"General","01","972335","322","Ustad Abdul Rab Rasool Sayyaf","استاد عبدرب الرسول سیاف","Yes","Male","Yes","Yes"
"General","01","5765356","366","Sayed Hussain Anwari","سید حسین انوری","No","Male","Yes","Yes"
"General","01","3907233","376"," Dr. Abdullah Kalimzai Wardak","داکتر عبیدالله کلیمزی وردگ","No","Male","Yes","Yes"
"General","01","11118666","399","Eng. Shir Wali Wardak","انجینر شیر ولی وردک","No","Male","Yes","Yes"
"General","01","4936965","434","Dr. Sayed Ali Kazemi","داکتر سید علی کاظمی","No","Male","Yes","Yes"
"General","01","5755111","461","Hajji Muhammad Dawood Kalakani","حاجی محمد داود کلکانی","Yes","Male","Yes","Yes"
"General","01","7408015","518"," Anwar Khan Oriakhil","انور خان اوریا خیل","Yes","Male","Yes","Yes"
"General","01","4792074","544","Muhammad Younus Qanooni","محمد یونس قانونی","Yes","Male","Yes","Yes"
"General","01","7408132","586"," Shenkai Zaheen Karokhil","شینکی ذهین کړوخیل","No","Female","Yes","Yes"
"General","01","5507514","624","General Nazifa Zaki","جنرال نظیفه  ذکی","No","Female","Yes","Yes"
"General","01","3158719","645","Sharifullah Kamawal","شریف اله کامه وال","No","Male","Yes","Yes"
"General","01","11042268","647","Sayed Hussain Alimi Balkhi","سید حسین عالمی بلخی","Yes","Male","Yes","Yes"
"General","01","6370973","651"," Kubra Mustafawi","کبری مصطفوی","No","Female","Yes","Yes"
"General","01","5765417","658","Shukria Barikzai","شکریه بارکزی","Yes","Female","Yes","Yes"
"General","02","5794609","9","Alhaj Mirdad Khan Nijrabi","الحاج میرداد خان  نجرابی","No","Male","Yes","Yes"
"General","02","4612705","10","Tahira Mujadidi","طاهره مجددی","No","Female","Yes","Yes"
"General","02","6734501","20","Eng. Muhammad Iqbal Safi","انجنیر محمد اقبال صافی","Yes","Male","Yes","Yes"
"General","02","2707162","36"," Hajji Agha Jan","حاجی آغا جان","No","Male","Yes","Yes"
"General","03","476427","5","Saranwal Abdul Satar Khawasi","‌ْ‎ًٌٍځارنوال عبدالستار خواصی","Yes","Male","No","Yes"
"General","03","837116","8","Alhaj Muhammad Almas Zahid","الحاج محمد الماس زاهد","Yes","Male","Yes","Yes"
"General","03","2506889","10","Alhaj Mir Rhman Rahmani","الحاج میرالرحمن رحمانی","No","Male","Yes","Yes"
"General","03","2504925","31","Samiah Azizi Sadat","سامعه  عزیزی  سادات","Yes","Female","Yes","Yes"
"General","03","2501845","35","Hajji Fazal Said Khili","حاجی فاضل سید خیلی","No","Male","Yes","No"
"General","03","435250","53","Khuwaja Sediq Ahmad Osmani","خواجه صدیق احمد عثمانی","Yes","Male","Yes","Yes"
"General","03","2496995","54","Zakia Sangeen","ذکیه سنگین","No","Female","Yes","Yes"
"General","04","1515001","2","Hajji Waheedullah Kalimzai Wardak","حاجی وحیدالله کلیمزی وردک","No","Male","Yes","No"
"General","04","2918166","8","Hajji Abdul Aahad Durani","حاجی عبدالاحمد درانی","No","Male","Yes","Yes"
"General","04","1515011","21","Eng. Hamida Akbari","انجنیر حمیده اکبری","No","Female","Yes","Yes"
"General","04","1515008","25","Hajji Abdul Majed Wardak","حاجی عبدالمجید وردگ","No","Male","No","Yes"
"General","04","1515002","30"," Ghulam Husain Naseri","غلام حسین ناصری","No","Male","Yes","Yes"
